REF_DATE,GEO,DGUID,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2009/2010,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,3237,,,,0
2010/2011,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,3846,,,,0
2011/2012,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,4479,,,,0
2012/2013,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,4968,,,,0
2013/2014,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,5259,,,,0
2014/2015,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,5595,,,,0
2015/2016,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,5853,,,,0
2016/2017,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,6168,,,,0
2017/2018,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,6450,,,,0
2018/2019,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,7683,,,,0
2019/2020,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,9570,,,,0
2020/2021,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,9174,,,,0
2021/2022,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,8055,,,,0
2006/2007,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,1893,,,,0
2007/2008,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2118,,,,0
2008/2009,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2043,,,,0
2009/2010,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2364,,,,0
2010/2011,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2571,,,,0
2011/2012,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2658,,,,0
2012/2013,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2445,,,,0
2013/2014,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2490,,,,0
2014/2015,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2469,,,,0
2015/2016,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2022,,,,0
2016/2017,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2037,,,,0
2017/2018,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,1815,,,,0
2018/2019,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,1578,,,,0
2019/2020,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,1809,,,,0
2020/2021,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,1866,,,,0
2021/2022,New Brunswick,2016A000213,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54522008,5.2.1.5.1.1.3.1,2154,,,,0
