"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Saskatchewan","2016A000247","Architecture","Current dollars","75","units","0","v1001399421","9.10","25121","","","","0"
"2023/2024","Saskatchewan","2016A000247","Architecture","Current dollars","75","units","0","v1001399421","9.10","30482","","","","0"
"2024/2025","Saskatchewan","2016A000247","Architecture","Current dollars","75","units","0","v1001399421","9.10","36535","","","","0"
"2006/2007","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","11762","","","","0"
"2007/2008","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","11631","","","","0"
"2008/2009","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","11762","","","","0"
"2009/2010","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","12103","","","","0"
"2010/2011","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","12691","","","","0"
"2011/2012","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","12956","","","","0"
"2012/2013","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","13494","","","","0"
"2013/2014","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","14102","","","","0"
"2014/2015","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","14711","","","","0"
"2015/2016","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","15142","","","","0"
"2016/2017","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","15527","","","","0"
"2017/2018","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","16011","","","","0"
"2018/2019","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","17577","","","","0"
"2019/2020","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","18108","","","","0"
