"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012/2013","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","8800","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","8800","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","8800","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","8800","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","8800","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","8800","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","11460","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","11460","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","11460","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","15960","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","16590","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","17265","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8780","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8800","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","11460","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","11460","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","11460","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","15960","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","16590","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","17265","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Law","Current dollars","75","units","0","v1073542408","2.5","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Law","Current dollars","75","units","0","v1073542408","2.5","","..","","","0"
