"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023/2024","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","36423","","","","0"
"2024/2025","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","38074","","","","0"
"2006/2007","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","17385","","","","0"
"2007/2008","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","18891","","","","0"
"2008/2009","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","19582","","","","0"
"2009/2010","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","20059","","","","0"
"2010/2011","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","20789","","","","0"
"2011/2012","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","21546","","","","0"
"2012/2013","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","22155","","","","0"
"2013/2014","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","22730","","","","0"
"2014/2015","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","24862","","","","0"
"2015/2016","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","24722","","","","0"
"2016/2017","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","25465","","","","0"
"2017/2018","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","28138","","","","0"
"2018/2019","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","29610","","","","0"
"2019/2020","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","32034","","","","0"
"2020/2021","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","33209","","","","0"
"2021/2022","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","36686","","","","0"
"2022/2023","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","38141","","","","0"
"2023/2024","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","41261","","","","0"
"2024/2025","British Columbia","2016A000259","Law","Current dollars","75","units","0","v62427491","11.5","43114","","","","0"
"2006/2007","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","15280","","","","0"
"2007/2008","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","16029","","","","0"
"2008/2009","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","14611","","","","0"
"2009/2010","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","12983","","","","0"
"2010/2011","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","15053","","","","0"
"2011/2012","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","16746","","","","0"
"2012/2013","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","15159","","","","0"
"2013/2014","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","16196","","","","0"
"2014/2015","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","17433","","","","0"
"2015/2016","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","18931","","","","0"
"2016/2017","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","20028","","","","0"
"2017/2018","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","22380","","","","0"
"2018/2019","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","23130","","","","0"
"2019/2020","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","24403","","","","0"
"2020/2021","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","25441","","","","0"
"2021/2022","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","26854","","","","0"
"2022/2023","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","28556","","","","0"
"2023/2024","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","30584","","","","0"
"2024/2025","British Columbia","2016A000259","Business, management and public administration","Current dollars","75","units","0","v62427492","11.6","32080","","","","0"
"2006/2007","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","15776","","","","0"
"2007/2008","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","16753","","","","0"
"2008/2009","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","16529","","","","0"
"2009/2010","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","18146","","","","0"
"2010/2011","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","18970","","","","0"
"2011/2012","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","19770","","","","0"
"2012/2013","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","19593","","","","0"
"2013/2014","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","20273","","","","0"
"2014/2015","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","19315","","","","0"
"2015/2016","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","21091","","","","0"
"2016/2017","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","22183","","","","0"
"2017/2018","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","25810","","","","0"
"2018/2019","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","27608","","","","0"
"2019/2020","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","28866","","","","0"
"2020/2021","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","29582","","","","0"
"2021/2022","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","33326","","","","0"
"2022/2023","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","35492","","","","0"
"2023/2024","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","38418","","","","0"
"2024/2025","British Columbia","2016A000259","Physical and life sciences and technologies","Current dollars","75","units","0","v62427493","11.7","40406","","","","0"
